title,director,cast,country,release_year,adult,duration,genres,description
Fate of Alakada,Kayode Kasum,"Toyin Abraham, Broda Shaggi, Calabar Chic, Munirat Antoinette Lecky, Khafi Kareem, Bukola Oshibowale, Adebimpe Akintunde, Temisan Emmanuel, Olaniyi Afonja, Sydney Egere",Nigeria,2020,0,113 min,"Comedy, International","Faking her way through any situation, a social media influencer poses as an event planner and is tasked with throwing an extravagant, star-studded bash."
Flicka,Michael Mayer,"Alison Lohman, Tim McGraw, Maria Bello, Ryan Kwanten, Danny Pino, Dallas Roberts","United States, United Kingdom",2006,0,95 min,"Animals, Nature, Coming of Age, Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.
Get Me Roger Stone,"Dylan Bank, Daniel DiMauro, Morgan Pehme",Roger Stone,United States,2017,1,101 min,Documentary,"Examine the rise, fall and rebirth of political operative Roger Stone, who's been an influential member of Team Trump for decades."
Good Kids,Chris McCoy,"Nicholas Braun, Zoey Deutch, Mateo Arias, Israel Broussard, Dayo Okeniyi, Julia Garner, Kevin Chapman, Ashley Judd",United States,2016,1,90 min,"Comedy, Independent",Four overachieving friends spend the summer after finishing high school doing everything possible to enjoy the party life and ruin their reputations.
Heartthrob,Chris Sivertson,"Aubrey Peeples, Keir Gilchrist, Peter Facinelli, Felicity Price, Ione Skye, Jimmy Bennett, Taylor Dearden",United States,2017,1,87 min,Thriller,"A shy, brilliant boy and a popular girl fall into an unexpected romance. But as their bond deepens, his attraction begins taking on dark overtones."
KROOS (4K UHD),Manfred Oldenburg,"Toni Kroos, Jessica Kroos, Felix Kroos, Gareth Bale, Casemiro, Luka Modrić, Florentino Pérez, Sergio Ramos, José Ángel Sánchez, Pep Guardiola, Jupp Heynckes, Uli Hoeneß, Miroslav Klose, Joachim Löw, Matthias Sammer, Zinédine Zidane, Sascha Breese, Dirk Hebel, Volker Struth, Marcel Reif, Robbie Williams",Germany,2019,0,114 min,"Documentary, Special Interest","KROOS is a look behind the scenes of the closed-off world of international football, featuring footage and interviews with icons like Zinédine Zidane, Pep Guardiola, Luka Modrić, Sergio Ramos and the singer Robbie Williams."
Kajraare,Pooja Bhatt,"Himesh Reshammiya, Sara Loren, Amrita Singh, Gulshan Grover, Javed Sheikh, Adnan Shah, Natasha Sinha, Gaurav Chanana, Anupam Shyam",India,2010,0,113 min,"Drama, International , Music, Musical","A popular singer on the run poses as a bartender and falls in love with a prostitute, but their love is threatened by a violent incident in his past."
Lady Driver,Shaun Paul Piccinino,"Grace Van Dien, Sean Patrick Flanery, Christina Moore, Casper Van Dien, Amanda Detmer, John Ducey, Matthew Joel Kranyak, David Gridley",United States,2019,0,104 min,"Drama, Sports","When a rebellious teen searches for her unknown roots, it leads her to the sport of dirt track racing and a discovery she didn't expect."
Mars: One Day on the Red Planet,Martin Johnson,Nigel Barber,United States,2020,0,88 min,Documentary,"An epic journey around the real Mars – built from data, as you’ve never seen it before."
Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,2005,0,97 min,"Action, Adventure, Anime , International","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
No One Will Ever Know,Jesús Torres Torres,"Adriana Paz, Jorge A. Jiménez, David Medel, Arcelia Ramírez, Luciano Marti, Joanna Larequi, Claudia Santiago, Paul Choza, Gabriel Casanova, Alisson Santiago, Manuel Ojeda, Ofelia Medina, Silvia Pasquel",Mexico,2017,1,102 min,"Drama, International",A mother and young son escape into their own imaginations to ignore the reality of their lives in rural Mexico.
Primal Fear,Gregory Hoblit,"Richard Gere, Edward Norton, Laura Linney, John Mahoney, Alfre Woodard, Frances McDormand, Terry O'Quinn, Andre Braugher, Steven Bauer, Joe Spano, Kenneth Tigar, Tony Plana, Maura Tierney, Stanley Anderson",United States,1996,1,131 min,"Drama, Thriller","When a blood-spattered altar boy is found running from a murder scene, his conviction seems certain – but his attorney is determined to win the case."
QLIMAX THE SOURCE,"Daan Jansen, Stijn Verlinde","Michael Brons, Nigel Coppen, Thomas Velderman, Carlos Antunes, Marco Spronk, Willem Rebergen, Joshua Dutrieux, Bob van der Palen, Sefa Vlaarkamp",Netherlands,2020,0,57 min,"Music, Musical",Seven priests. Six realms. One destiny. Begin an immersive audiovisual hardstyle trip into the mystical world of Qlimax — and become one with the sound.
Ride Like a Girl,Rachel Griffiths,"Teresa Palmer, Sam Neill, Sullivan Stapleton, Stevie Payne, Brooke Satchwell, Magda Szubanski, Aaron Glenane, Damien Garvey, Sophia Crawford, Henry Nixon",Australia,2020,0,99 min,"Children, Family , Drama, Independent","The daughter of a horse trainer, an ambitious girl sets her sights on becoming the first female jockey to win the Melbourne Cup. Based on a true story."
Sebastian Maniscalco: Stay Hungry,Rik Reinholdtsen,Sebastian Maniscalco,United States,2019,1,65 min,StandUpComedy,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special."
Shawn Mendes: Live in Concert,Paul Dugdale,Shawn Mendes,"United Kingdom, United States",2020,0,87 min,"Music, Musical","In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans."
Simpsons Movie,David Silverman,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Harry Shearer, Hank Azaria",United States,2007,0,88 min,"Action, Adventure, Animation, Comedy",Homer must save the world from a catastrophe he himself created.
Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez,"Antonio Banderas, Carla Gugino, Alexa PenaVega, Daryl Sabara, Steve Buscemi, Mike Judge, Danny Trejo, Cheech Marin, Matt O'Leary, Emily Osment, Ricardo Montalban, Holland Taylor, Alan Cumming",United States,2002,0,100 min,"Children, Family , Comedy","Spy kids Carmen and Juni Cortez team up with two other pint-size secret agents, Gary and Gerti Giggles, in order to take on an evil scientist."
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jamie Campbell Bower, Laura Michelle Kelly, Jayne Wisener, Ed Sanders","United States, United Kingdom",2007,1,116 min,"Drama, Horror , Music, Musical","After being falsely imprisoned, a vengeful murderer covers his tracks by enlisting the help of a baker whose meat pies become the toast of London."
The Desert Bride,"Cecilia Atán, Valeria Pivato","Paulina García, Claudio Rissi","Argentina, Chile",2017,0,78 min,"Drama, International","While traveling across Argentina to a new job, a longtime maid encounters a salesman who opens her eyes to life's beauty and possibilities."
The Little Hours,Jeff Baena,"Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza, John C. Reilly, Molly Shannon, Fred Armisen, Jemima Kirke, Lauren Weedman, Nick Offerman, Paul Reiser, Adam Pally, Paul Weitz, Jon Gabrus","Canada, United States",2017,1,89 min,"Comedy, Independent",Life at a convent takes an unruly turn when three unconventionally opinionated nuns cross paths with a tempting new gardener.
The Super Parental Guardians,Joyce Bernal,"Vice Ganda, Coco Martin, Onyok Pineda, Awra Briguela, Assunta de Rossi, Pepe Herrera, Joem Bascon, Matet De Leon, Kiray Celis, Lassy Marquez, MC Calaquian",Philippines,2016,0,115 min,"Action, Adventure, Comedy, International","Following his best friend's death, Arci takes charge of her two boisterous children with some help from their gang-affiliated uncle."
The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Billy Burke, Dakota Fanning, Peter Facinelli, Elizabeth Reaser, Jackson Rathbone, Kellan Lutz, Ashley Greene, Nikki Reed",United States,2010,0,124 min,"Drama, Romantic","With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob."
The World Is Yours,Romain Gavras,"Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra",France,2018,1,101 min,"Action, Adventure, Comedy, International","To escape his life of crime, a Paris drug dealer takes on one last job involving Spain, unhinged gangsters, his longtime crush and his scheming mother."
The Yin-Yang Master: Dream Of Eternity,Guo Jingming,"Mark Chao, Deng Lun, Wang Ziwen, Jessie Li, Wang Duo, Sun Chenjun, Xu Kaicheng, Jasper, Ju Xiaowen",China,2021,0,133 min,"Action, Adventure, International","When a demonic serpent reawakens, the Yin-Yang Masters must solve a murder mystery and protect their realms from a dark conspiracy at the royal court."
They’ll Love Me When I’m Dead,Morgan Neville,"Orson Welles, Alan Cumming",United States,2018,1,98 min,Documentary,"Actors, crew members and others who were there discuss the tumultuous creation of Orson Welles's final, unfinished film, “The Other Side of the Wind.”"
Trailer Park Boys: Countdown to Liquor Day,Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith, John Dunsworth, Jonathan Torrens, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Barrie Dunn, Tyrone Parsons",Canada,2009,1,102 min,"Comedy, Cult","After their latest jail stint, boozy pals Julian, Bubbles and Ricky plan to go legit but learn trailer park manager Jim aims to demolish their homes."
"Trailer Park Boys: Drunk, High and Unemployed: Live in Austin","Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Tom Green, Verne Troyer, Jonathan Torrens",Canada,2015,1,74 min,"Comedy, International","Ricky, Julian and Bubbles bring their trailer park humor out onto the stage for a night of bravado, schemes and an intoxicated acting demo."
Uppity: The Willy T. Ribbs Story,"Nate Adams, Adam Carolla",Willy T. Ribbs,United States,2020,1,106 min,"Documentary, Sports","This documentary profiles a defiant driver who challenged racial barriers in American auto racing, becoming the first black man to race in the Indy 500."
Very Big Shot,Mir-Jean Bou Chaaya,"Alain Saadeh, Fouad Yammine, Tarek Yaacoub, Alexandra Kahwaji, Wissam Fares, Georges Hayeck, Fadi Abi Samra, Marcel Ghanem","Lebanon, Qatar",2015,1,109 min,"Comedy, Drama, International","When three brothers struggling to go straight become targets of a criminal underworld, they use the making of a movie as a front to transport drugs."
1898: Our Last Men in the Philippines,Salvador Calvo,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios",Spain,2016,1,130 min,"Drama, International","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents."
1st Summoning,Raymond Wood,"Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald",United States,2018,1,94 min,"Horror , Independent","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think."
Alex James: Slowing Down Fast Fashion,Ben Akers,Alex James,"United Kingdom, France, United States",2016,0,65 min,"Documentary, Special Interest","Alex James, Blur bassist turned cheesemaker, presents this critical look at the fashion industry and its enormous human and environmental cost. Far from predicting the apocalypse, Slowing Down Fast Fashion seeks to provide solutions. By talking to designers, activists and high street brands, the film shows that there is a wide ranging and ever growing thirst for change."
Baxu and the Giants,Florian Schott,"Camilla Jo-Ann Daries, Wafeeq Narimab, Anna Louw, Steven Afrikaner, Ashwyn Mberi, Robert Hara Gaeb",Namibia,2019,0,29 min,"Drama, International",A young girl grows increasingly concerned about the rhino poaching in her village when it begins to directly impact her impoverished family.
Big Time,Kaspar Astrup Schröder,Bjarke Ingels,Denmark,2017,1,90 min,Documentary,"In this documentary, architect Bjarke Ingels offers his vision for 2 World Trade Center as he aims to restore Manhattan's skyline to its former glory."
Eggnoid: Love & Time Portal,Naya Anindita,"Morgan Oey, Sheila Dara, Luna Maya, Kevin Julio, Anggika Bolsterli, Reza Nangin, Martin Anugrah, Fatih Unru",Indonesia,2019,0,102 min,"Drama, International , Romantic","Sent from the future to look after a lonely girl, Eggy finds himself falling for her. But dating is forbidden and would risk both their fates."
For Here or to Go?,Rucha Humnabadkar,"Ali Fazal, Melanie Chandra, Rajit Kapoor, Amitosh Nagpal, Omi Vaidya, Samrat Chakrabarti, Keith Stevenson","United States, India",2015,1,105 min,"Comedy, Drama, Independent",A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
Get Smart,Peter Segal,"Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terence Stamp, Terry Crews, David Koechner, James Caan, Masi Oka, Nate Torrence, Bill Murray",United States,2008,0,110 min,"Action, Adventure, Comedy","When the identities of secret agents are compromised, hapless Maxwell Smart teams with far more capable Agent 99 to thwart an evil terrorist group."
God Calling,BB Sasore,"Zainab Balogun, Karibi Fubara, Diana Egwuatu, Richard Mofe-Damijo, Tina Mba, Onyeka Onwenu, Nkem Owoh, Patrick Diabuah, Ademola Adedoyin, Bikiya Graham Douglas",Nigeria,2018,1,120 min,"Drama, Faith and Spirituality, International","The loss of a child plunges Sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology."
Holy Man 3,Note Chern-Yim,"Krissada Sukosol, Natee Aekwijit, Yoakyake Chernyim, Der Doksadao, Note Chern-Yim, Kohtee Aramboy, Chaleumpol Tikumpornteerawong",Thailand,2010,1,102 min,"Comedy, Faith and Spirituality, International","Two new monks, one of them a former rock music star seeking inner peace, join a temple plagued by thieves who are stealing its valuable holy relics."
Hubie Halloween,Steve Brill,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",United States,2020,0,104 min,"Comedy, Horror","Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe."
Incredibles 2,Brad Bird,"Craig Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Catherine Keener, Eli Fucile",United States,2018,0,118 min,"Action, Adventure, Animation, Family",The Incredibles spring into action when a dangerous new villain emerges.
Just Say Yes,"Appie Boudellah, Aram van de Rest","Yolanthe Cabau, Noortje Herlaar, Kim-Lian van der Meij, Nienke Plas, Pip Pellens, Jim Bakkum, Huub Smit, Edwin Jonker",Netherlands,2021,1,98 min,"Comedy, International , Romantic",Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.
La Coppia dei Campioni,Giulio Base,"Massimo Boldi, Massimiliano Tortora, Anna Maria Barbera, Massimo Ceccherini, Pia Lanciotti, Flora Canto",Italy,2016,1,88 min,"Comedy, International","After winning a shared trip to a soccer match, two colleagues who hold opposite world views find they're stuck traveling together for the duration."
Lock,Smeep Kang,"Gippy Grewal, Gurpreet Guggi, Smeep Kang, Geeta Basra, Karamjit Anmol, Harpal Singh, Vikram Grover, Priyanka Sharma",India,2016,0,90 min,"Drama, International","A disillusioned rickshaw driver in Punjab dreams of moving to Dubai, but his plan to butter up his would-be benefactor goes horribly wrong."
Masameer - The Movie,Malik Nejer,"Malik Nejer, Shahad Alahmari, Abdulaziz Almuzaini, Yousef Aldakheel",Saudi Arabia,2020,0,100 min,"Comedy, International",A young girl passionate about AI sets out to make an impact as three friends become crime-fighting superheroes. Based on the hit animated web series.
Morya,Avadhoot Gupte,"Santosh Juvekar, Chinmay Mandlekar, Pari Telang, S. Joshi, Dilip Prabhavalkar, Ganesh Yadav, Pushkar Shrotri",India,2011,0,121 min,"Drama, International",Two communities in Mumbai get a final chance to compete with each other in the celebration of the iconic Ganesh Chaturthi festival.
Mr. Gaga: A True Story of Love and Dance,Tomer Heymann,Ohad Naharin,"Israel, Sweden, Germany, Netherlands",2015,0,102 min,"Documentary, International",World-renowned choreographer Ohad Naharin is profiled in this vivid documentary that mixes rehearsal footage with insights about his influence.
Phantom,Kabir Khan,"Saif Ali Khan, Katrina Kaif, Sabyasachi Chakraborty, Mohammed Zeeshan Ayyub, Sohaila Kapoor, Denzil Smith",India,2015,0,129 min,"Action, Adventure, International",India's primary intelligence agency sends an enigmatic operative on a top-secret mission to avenge the 11/26 terrorist attack on Mumbai.
Planetarium,Rebecca Zlotowski,"Natalie Portman, Lily-Rose Depp, Emmanuel Salinger, Amira Casar, Pierre Salvadori, Louis Garrel","France, Belgium",2016,1,108 min,"Drama, International","In pre-World War II France, two sisters purport to be able to communicate with the dead and soon catch the eye of an ambitious filmmaker."
Potato Potahto,Shirley Frimpong-Manso,"O.C. Ukeje, Joselyn Dumas, Joke Silva, Blossom Chukwujekwu, Kemi Lala Akindoju, Chris Attoh, Nikki Samonas, Adjetey Anang, Victoria Micheals",Ghana,2017,1,104 min,"Comedy, Drama, International",A divorced couple decides to continue sharing a home but their already-delicate cohabiting scheme unravels when they begin dating other people.
Quantum of Solace,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini, Gemma Arterton, Jeffrey Wright, David Harbour, Jesper Christensen, Anatole Taubman","United Kingdom, United States",2008,0,106 min,"Action, Adventure","Picking up an hour after the events of 2006's Casino Royale, this James Bond adventure finds 007 tracking a traitor who's infiltrated Britain's MI6."
